evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5500000000,0.5500000000,0.6500000000,3.5000000000,1.0000000000,104,111,103,111,104,111
3,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,0.8000000000,103,110,102,111,103,110
4,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.7000000000,3.5000000000,1.0000000000,104,110,103,112,104,111
5,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7000000000,3.5000000000,0.9000000000,102,110,104,110,103,110
6,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.5500000000,3.0000000000,0.9000000000,104,111,104,111,104,110
7,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,102,110,103,110
8,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,0.9000000000,103,110,103,110,103,110
9,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.7500000000,3.0000000000,0.8000000000,104,112,104,110,102,110
10,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,103,111,103,110,104,110
11,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
12,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,102,110,103,110,104,112
13,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,112,104,110
14,neighbor,False,WSD_CRITERIA_UNVERIFIED,999999999.0000000000,999999999.0000000000,0.5500000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,102,110,102,110,104,110
